"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",41,1,"41A","PA4.15Ihed",27,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",42,1,"42","PA4.17Ip",18,"","Alone","NA","NA","PA4","Ip"
"1",43,1,"43","PA4.16Ip",8,"","Inter","PA 4.12 Ihed","PA 4.16 Ip-PA 4.12 Ihed","PA4","Ip"
"1",43,1,"43","PA4.12Ihed",12,"","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.12 Ihed","PA4","Ihed"
"1",43,1,"43A","PA4.15Ip",8,"","Inter","PA 4.2 Ihed","PA 4.15 Ip-PA 4.2 Ihed","PA4","Ip"
"1",43,1,"43A","PA4.2Ihed",4,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",44,1,"44","PA4.14Ip",9,"","Alone","NA","NA","PA4","Ip"
"1",45,1,"45A","PA4.2Ip",13,"","Inter","PA 4.15 Ihed","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ip"
"1",45,1,"45A","PA4.15Ihed",16,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",46,1,"46","PA4.13Ip",7,"","Inter","PA 4.9 Ihed","PA 4.13 Ip-PA 4.9 Ihed","PA4","Ip"
"1",46,1,"46","PA4.9Ihed",14,"","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",47,1,"47A","PA4.14Ip",9,"","Inter","PA 4.2 Ihed","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ip"
"1",47,1,"47A","PA4.2Ihed",15,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",52,1,"52","PA4.17Ip",10,"","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip"
"1",52,1,"52","PA4.9Ihed",10,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ihed"
